case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_354950,Strong Democrat,70,30,2,2,7,Voted,1,2,4,1,1,4,1,75,White,0.548660599499812,2020-10-04,17,Female,1,Democrat,70,30,1,Joe Biden,Democrat,0,Some of the Time,1,0,50,70,30,2020,warm,1,Winner,0
2020_354967,Independent - Democrat,60,40,4,1,7,Voted,1,4,4,1,1,2,1,43,Other,1.2508348713461,2020-10-17,22,Female,3,Democrat,60,40,1,Joe Biden,Democrat,1,Some of the Time,1,1,50,60,40,2020,NA,1,Winner,0
2020_354974,Strong Republican,0,85,6,2,5,Voted,8,2,3,1,1,2,3,65,White,0.381767334114423,2020-09-25,1,Female,7,Republican,0,85,1,Donald Trump,Republican,0,About Half the time,0,1,42.5,85,0,2020,warm,0,Winner,1
2020_355014,Independent - Independent,50,40,4,5,6,Voted,4,-6,4,1,1,-6,1,60,Black,0.153584622504576,2020-09-03,2,Male,4,Independent,50,40,1,Amy Klobuchar,Democrat,NA,Some of the Time,1,NA,45,NA,NA,2020,NA,1,Voted in Other Primary,1
2020_355045,Independent - Independent,85,0,3,4,4,Didn't Vote,NA,2,3,1,0,3,3,39,Other,0.534829666419716,2020-10-14,6,Female,4,Independent,85,0,0,NA,NA,0,About Half the time,0,0,42.5,NA,NA,2020,NA,0,Didn't Vote,1
2020_355069,Independent - Democrat,80,10,2,3,6,Didn't Vote,NA,2,4,1,1,1,1,56,White,0.989811509120786,2020-08-24,19,Female,3,Democrat,80,10,0,NA,NA,0,Some of the Time,1,1,45,80,10,2020,warm,1,Didn't Vote,0
2020_355151,Independent - Republican,15,85,6,1,6,Voted,8,4,3,0,1,4,2,80,White,0.12523359080505,2020-09-24,1,Female,5,Republican,15,85,1,Donald Trump,Republican,1,About Half the time,0,0,50,85,15,2020,warm,0,Winner,1
2020_355168,Independent - Independent,50,50,99,4,4,Didn't Vote,NA,4,3,1,1,1,1,NA,White,0.67452434738264,2020-10-19,NA,Female,4,Independent,50,50,0,NA,NA,1,About Half the time,0,1,50,NA,NA,2020,NA,1,Didn't Vote,NA
2020_355182,Strong Democrat,80,15,99,6,6,Voted,1,2,3,1,1,3,1,40,White,0.390254026965716,2020-10-17,21,Female,1,Democrat,80,15,1,Joe Biden,Democrat,0,About Half the time,0,0,47.5,80,15,2020,warm,1,Winner,0
2020_355267,Weak Democrat,50,50,4,3,5,Didn't Vote,NA,2,3,1,0,2,1,40,White,2.36123250698401,2020-09-19,10,Female,2,Democrat,50,50,0,NA,NA,0,About Half the time,0,1,50,50,50,2020,NA,1,Didn't Vote,0
