age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
53,Male,White,NA,1.0368,Donald Trump,1,5,7,2,30,70,Republican,NA,70,30,1,Republican,Winner,2016
37,Female,Black,7,0.8385,Didn't Vote,NA,99,2,4,70,30,Democrat,1,70,30,0,NA,Didn't Vote,2016
63,Female,White,26,0.6462,Didn't Vote,NA,2,7,2,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016
39,Male,White,27,0.6858,Didn't Vote,NA,3,6,3,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016
58,Male,White,22,0.4967,Marco Rubio,1,6,5,2,16,31,Other,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
32,Female,Other,22,1.2653,Didn't Vote,NA,6,6,2,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016
54,Male,Black,19,1.3779,Didn't Vote,NA,99,1,4,80,0,Democrat,0,80,0,0,NA,Didn't Vote,2016
18,Male,White,3,3.1208,Hillary Clinton,1,99,6,2,70,1,Independent,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016
48,Female,White,1,1.0345,Didn't Vote,NA,6,5,3,0,85,Republican,1,85,0,0,NA,Didn't Vote,2016
26,Male,Black,9,0.9539,Hillary Clinton,1,99,5,4,85,40,Democrat,1,85,40,1,Democrat,Winner,2016
55,Male,White,14,0.8864,Didn't Vote,NA,6,5,2,15,60,Republican,0,60,15,0,NA,Didn't Vote,2016
50,Female,Other,17,0.4637,Didn't Vote,NA,2,7,2,40,13,Independent,0,NA,NA,0,NA,Didn't Vote,2016
66,Female,White,13,0.599,Didn't Vote,NA,3,3,5,70,85,Republican,0,85,70,0,NA,Didn't Vote,2016
46,Female,White,12,0.4474,Bernie Sanders,1,1,7,4,35,2,Democrat,0,35,2,1,Democrat,Loser,2016
35,Male,White,25,0.7397,Bernie Sanders,1,3,5,3,70,60,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
NA,Female,White,NA,1.0479,Didn't Vote,NA,-9,4,4,NA,NA,NA,NA,NA,NA,0,NA,NA,2016
52,Male,White,19,0.3404,Didn't Vote,NA,4,5,3,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
70,Female,White,20,2.1984,Didn't Vote,NA,99,4,4,40,60,Republican,0,60,40,0,NA,Didn't Vote,2016
33,Female,White,3,0.4286,Bernie Sanders,1,2,6,3,65,30,Democrat,1,65,30,1,Democrat,Loser,2016
78,Female,Black,13,0.3694,Hillary Clinton,1,3,2,4,89,62,Democrat,0,89,62,1,Democrat,Winner,2016
42,Female,White,14,0.9279,Didn't Vote,NA,4,5,1,NA,60,Republican,0,60,NA,0,NA,Didn't Vote,2016
